cluster_id,score,summary
1,"[0.49081178 0.78762944 0.6851187  1.23370581 1.11500099 1.18973864
 1.07675139 1.23953965 1.1064182  0.69329622 0.54278317 0.95740323
 0.71328112 0.67174971 1.22936885 0.31555815 0.52308997 0.89039471
 0.94577154 1.17528748 0.80028972 0.76239734 0.74878468 1.14542969
 0.19515359 0.51426671 0.9368563  0.7258717  0.24096525 0.59667317
 0.71410829 1.1554006  0.78694577 0.70542763 0.55254205 0.66397223
 0.56754706 0.65552847 0.17192159 1.35143406 1.04096514 0.72325959
 0.96288399 0.36452258 0.53600175 0.53234892 0.36097997 0.82444092
 0.97163931 0.86678005 1.01267336 0.3493681  1.20247961 0.76843482
 1.30081967 0.62983371 1.07732909 0.54212031 1.29202612 1.30387248
 1.46659061 1.36962509 1.44466845 0.75135515 0.95429547 1.32109559
 1.34459458 1.46994794 1.55980494 0.58376096 1.50274663 1.49352669
 1.42057392 1.66520005 1.21315656 1.55879978 1.10169308 1.64815684
 1.23419434 0.86962943 0.78355894 1.00776263 0.81703749 0.48059915
 1.26084954 1.78718028 1.54796086 0.95789819 1.19682003 0.25382687
 1.42872741 1.14766116 1.29517871 1.29531529 0.62536553 0.84425339
 1.69024624 1.74569112 1.82521576 0.82689058 0.65139586 0.93671755
 1.10378835 1.01131478 0.69746236 1.60555769 1.12741062 1.07990346
 1.15942252 1.41240722 1.07531216 1.15426641 0.99561757 1.01109528
 0.78701265 0.76001355 0.87793806 0.8454393  1.29588746 1.52731142
 1.22085918 1.61231796 1.00418146 1.0381613  1.29839166 1.73326659
 0.7224655  1.30091761 1.49662859 1.29505048 0.34675685 0.67216658
 0.98353406 1.13705522 1.41286441 1.84680673 0.37100686 0.74684431
 1.23342498 1.19247406 1.34880941 1.54889479 1.07675139 0.92570027
 0.93686718 0.50755288 0.91840068 1.06331072 0.41889397 0.46101203
 0.796903   0.46641886 0.71014017 0.76239734 0.86442797 0.75525267
 0.74342939 1.25018904 0.74237976 1.1554006  0.96295117 0.44033834
 1.62224624 1.22299014 0.77532656 0.95273514 0.74417126 1.24697176
 1.07785666 1.21152995 1.26365232 1.50244658 0.75135515 1.15923775
 1.60703206 1.0666456  1.13048312]",Để đạt được kết_quả tốt nhất_nhất với bài thi tốt_nghiệp THPT_môn Vật_lí thì ngoài việc nắm vững hệ_thống kiến_thức và thành_thạo các kĩ_năng làm bài các em cần chuẩn_bị tâm_lí vững_vàng tránh căng_thẳng dẫn đến những sai_sót không đáng có.Trong trường_hợp_đề thi được nâng cao hơn về độ khó thì đó là cái khó chung nên về cơ_bản sẽ không làm thay_đổi thứ_hạng và kết_quả tuyển_sinh vào đại_học của các thí_sinh nên không cần phải bận_tâm.Dạng bài đọc hiểu và đọc điền vốn là 2 dạng bài gây khó_khăn nhất cho các em học_sinh thi môn Tiếng Anh lời khuyên của cô là hãy làm thật chính_xác và hiệu_quả về mặt thời_gian cho những dạng bài còn lại trước từ đó mình có thêm nhiều thời_gian hơn cho 2 dạng bài này.Ở 10 câu cuối khi tính_toán bị sai_sót hoặc không nghĩ ra hướng của câu nào thì không nên hoảng_loạn mà bỏ_qua và làm câu tiếp_theo sau khi làm hết đề thì quay lại câu không làm được và tiếp_tục giải nếu không giải được thì thử đáp_án lên nếu có_thể.Khi làm xong các phép_tính các em cần lưu_ý đơn_vị ở câu trả_lời của đề thi xem đáp_số có phù_hợp với thực_tế không.Thời_gian còn lại thí_sinh quan_sát nhanh các câu cuối phân_loại các câu hỏi có dạng quen_thuộc và ưu_tiên xử_lí trước câu lạ và khó xử_lí sau và hãy dành 5 phút cuối để kiểm_tra lại đáp_án của toàn_bộ đề thi để chắc_chắn không bỏ_sót hoặc tô nhầm đáp_án của câu hỏi nào.Lưu_ý với thí_sinh về kỹ_năng làm bài thi môn Ngữ_văn TS Trịnh_Thu_Tuyết nguyên giáo_viên Trường THPT Chu_Văn_An Hà_Nội cho rằng Thay_vì lo_lắng và áp_lực các em cần tích_cực rà_soát những kiến_thức cơ_bản trong chương_trình Ngữ_văn lớp 12 ghi_nhớ những giá_trị nội_dung và nghệ_thuật chính của mỗi bài.Ở mức điểm này các em cần nắm thật vững các chuyên_đề ngữ_pháp làm thành_thục và tuyệt_đối chính_xác những câu hỏi này tránh các lỗi sai đáng tiếc
2,"[0.76233461 0.88488408 0.91521845 1.08771006 1.001652   1.08804238
 0.66055327 1.22133354 1.11414328 0.80386363 0.86662441 0.92853751
 0.96385444 1.10830246 1.26875037 1.34725823 1.36932186 0.86516541
 0.81182128 0.49051311 0.96559393 0.98709287 1.03325898 0.96779202
 0.9719918  1.50735447 1.08027359 1.27237233 0.97613336 1.10354404
 1.29714997 1.25352036 0.71097682 1.45394154 1.16386502 1.2268152
 1.04708005 1.24413675 0.90495326 1.37799206 0.82111844 0.7559412
 0.93587623 1.07971846 0.67503605 0.60079233 0.20476697 0.58091026
 1.45248529 1.08621989 0.68457928 0.4068627  1.         1.07480722
 1.05993318 1.03633863 0.93679912 0.72456672 1.12120266 1.60764736
 0.75380331 1.1074065  0.89272878 0.7425538  1.37197113 0.81321595
 0.9866944  0.62111188 1.15918    0.61408098 1.10282349 1.49434687
 1.22005536 1.26408843 0.56492041 1.27237925 1.06617958 1.13695226
 0.36691565 1.27373129 0.92625404 0.72767508 0.7833327  1.49963163
 1.14655677 1.35759869 0.7841162  0.87882565 0.80509308 0.72082329
 0.95667672 1.07539782 1.10240722 1.25514255 1.48835902 0.91635065
 0.72420115 0.30648026 1.22810014 1.08476225 0.98763164 0.90741452
 1.56070477]",Nguyên_nhân một phần của hiện_tượng trên là sự nóng lên toàn_cầu do nhiệt_độ trung_bình lúc này đã cao hơn 11_độ C so với cuối thế_kỷ 19 thời_điểm trước khi phát thải CO2 và các loại khí nhà_kính khác trở_nên phổ_biến.Đợt nhiệt lớn đang phủ lên Anh và xứ Wales vào hôm 187 một phần là kết_quả của việc một vùng không_khí áp_suất thấp ở tầng trên khí_quyển bị nghẽn lại ngoài khơi Bồ_Đào_Nha trong nhiều ngày.Các thảm_họa đã được dự_báo trước và đã có những nỗ_lực chống biến_đổi khí_hậu trong thời_gian qua nhưng thường không đủ mạnh_mẽ so với sức tàn_phá của chính nhân_loại.Trong bản báo_cáo đặc_biệt Sự nóng lên toàn_cầu ngưỡng 15 độ C_Ủy_ban Liên_chính_phủ về Biến_đổi Khí_hậu nhấn_mạnh Kiềm_chế sự nóng lên toàn_cầu ở ngưỡng 15 thay_vì 2 độ C sẽ làm bớt đi khoảng 420 triệu người phải thường_xuyên chịu những đợt sóng nhiệt cực_đoan và giảm khoảng 65 triệu người phải tiếp_xúc với những đợt sóng nhiệt nguy_hiểm tới tính_mạng.Theo Ủy_ban Liên_chính_phủ về Biến_đổi Khí_hậu của Liên_Hợp_quốc loài_người đang ở giai_đoạn nóng nhất trong 125 nghìn năm nguyên_nhân chủ_yếu là từ nồng_độ CO2 cao nhất trong 2 triệu năm gây ra bởi các hoạt_động của con_người.Kết_quả nghiên_cứu này cho thấy sóng nhiệt ở châu_Âu đã gia_tăng cả về tần_suất và cường_độ trong 40 năm qua.Ở Tây Ban_Nha và Bồ_Đào Nha gần 750 vụ thiệt_mạng liên_quan đến nắng nóng đã được báo_cáo trong giai_đoạn sóng nhiệt càn_quét.Tuy chưa từng có tiền_lệ những sự_kiện thời_tiết cực_đoan tại châu_Âu và trên toàn thế_giới đã được cảnh_báo hàng thập_kỷ bởi các nhà khí_tượng học
3,"[0.20546256 0.50550474 1.13874756 0.89316552 1.04677778 0.57754797
 1.27083444 2.01927635 1.02336795 1.61399413 1.50047791 1.2703799
 1.4089895  1.06508831 1.24676509 1.65841758 1.2292676  0.21690194
 1.06388937 1.06224851 0.37969085 0.4730039  1.24278967 1.07731257
 0.68788045 0.93454855 0.32007436 1.11218253 1.18506038 0.96112321
 0.18106533 1.62697673 2.11962534 1.0656873  0.49342646 1.48070698
 1.54994043 1.06003536 1.63193698 0.90125091 1.02596779 1.58780628
 1.74081415 1.39621439 0.95770086 0.77914431 1.32473489 0.71065342
 1.38930391 0.56224443 1.01600174 0.67687661 1.4062078  1.72102801
 0.88875204 0.95974831 1.3353751  1.448948   1.33070207 1.22172719
 0.96607682 1.13055239 1.17277374 1.10076289 1.3799735  1.67162012
 1.02966803 0.50011441 1.30973726 1.19894637 1.171531   1.13342008
 0.90874533 0.50100484 1.25786645 0.96014672 0.9107713  0.44766057
 0.92415761 0.8690666  0.63301032 0.88647688 1.48855158 0.92094553
 0.75431611 1.0480296  0.37944208 0.93929191 0.31605467 0.97899694
 0.72693959 1.32650453 1.2174016  1.00683835 0.84764854 1.02913744
 0.68760169 1.25928574 0.84828586 1.00903325 0.33109652 0.92142295
 1.11845447 0.73470109 1.15971132 0.1971049  1.22447156 0.92171468
 1.35762374 0.90387143 0.58278566 0.94724079 1.20630802 0.64419654
 1.55240179 0.61886238 1.1116034  0.74343351 1.17562537 0.81697656
 0.81352627 0.93236875 0.38166251 0.77097896 0.98776833 0.884936
 1.17718164 0.55654449 1.11679536 0.79856697 0.81392466 0.64291208
 1.19490554 0.70404257 0.94345131 0.18106533]",Ông nói Họ đã gây ra một cuộc khủng_hoảng năng_lượng toàn_cầu và một cuộc khủng_hoảng lương_thực toàn_cầu với cuộc xâm_lược bất_hợp_pháp của họ vào Ukraine và những nước còn lại chúng_tôi đã rất nỗ_lực làm_việc để giảm_thiểu những vấn_đề đó trên toàn thế_giới.Nga và Ukraine vừa ký một thỏa_thuận mang tính bước_ngoặt với Liên_hợp_quốc và Thổ_Nhĩ_Kỳ về việc nối lại các chuyến hàng_ngũ_cốc trong nỗ_lực xoa_dịu cuộc khủng_hoảng lương_thực toàn_cầu đẩy hàng triệu người phải đối_mặt với nạn đói.Thủ_tướng Canada_Justin_Trudeau ngày 227 nói rằng ông không tin Nga sẽ thực_hiện cam_kết trong thỏa_thuận mở lại các cảng của Ukraine ở Biển Đen để xuất_khẩu ngũ_cốc.Theo trang_web của Chính_phủ Nga Thủ_tướng Mikhail_Mishustin đã ký ban_hành sắc_lệnh bổ_sung các nước này vào danh_sách trên do có những hành_động không thân_thiện chống lại nước Nga các công_ty và công_dân Nga.Nó sẽ là một tấm_gương cho thế_giới và các thế_hệ tương_lai của chúng_ta sẽ đánh_giá cao bộ_luật này.Các công_ty vận_tải_biển và thương_nhân ngũ_cốc đã hoan_nghênh thỏa_thuận coi đây là một bước đi tích_cực nhưng cảnh_báo vẫn còn một_số trở_ngại bao_gồm việc đảm_bảo an_toàn cho thủy_thủ đoàn và tàu_thuyền cũng như chính_sách bảo_hiểm đầy_đủ và chi_phí phù_hợp cho các chuyến vận_chuyển hàng qua Biển Đen nơi tiềm_ẩn rất nhiều rủi_ro.Theo kết_quả kiểm_phiếu Thủ_tướng Prayuth_Chanocha đã nhận được 256 phiếu ủng_hộ 206 phiếu phản_đối và 9 phiếu trắng qua đó giành được sự ủng_hộ cần_thiết để tiếp_tục giữ cương_vị người đứng đầu chính_phủ cho đến khi nhiệm_kỳ của ông kết_thúc vào tháng 32023.Nga và Ukraine đã ký các thỏa_thuận riêng_biệt với Thổ Nhĩ_Kỳ và Liên_hợp_quốc để dọn_đường xuất_khẩu hàng triệu tấn ngũ_cốc Ukraine cũng như ngũ_cốc và phân_bón của Nga chấm_dứt tình_trạng bế quan tỏa cảng đã đe_dọa an_ninh lương_thực trên toàn_cầu
4,"[1.46057221 0.90384338 0.59869562 1.10661052 1.02087399 1.11414537
 1.08073326 1.21684091 1.10428064 1.62283044 1.153432   1.21359384
 1.39863153 0.74480921 1.07262038 1.22702217 0.32797025 0.97724444
 0.84930613 1.24619489 1.14202337 1.13838763 1.30763608 1.15306235
 1.37932003 0.93205078 0.74835416 1.00512162 0.9977579  0.74164986
 0.6766037  0.63558651 1.02525261 0.2944574  0.63260971 1.24751429
 1.11222803 1.06107337 0.56254039 0.53542813 0.72850444 1.2674694
 0.78132305 1.20664245 0.8163398  1.37184902 1.01840865 1.16154597
 0.65988699 0.9631585  1.37919773 1.30325988 0.59560337 1.24431
 1.34089296 0.96891753 0.7282928  0.91887615 0.77661224]",Tổng mức bán_lẻ hàng_hóa và doanh_thu dịch_vụ tiêu_dùng đạt quy_mô và tốc_độ lần_lượt là 2717 nghìn tỷ đồng và 117 tăng cao hơn so với cùng kỳ trong vòng 5 năm trở_lại đây tăng 144 so với 6 tháng đầu năm 2019.Những nội_dung chi_tiết về sự tăng_trưởng mạnh của GDP Việt_Nam trong 6 tháng đầu năm 2022 vừa_qua cũng đã được đề_cập và phân_tích trong chương_trình Tạp_chí Phát_triển sản_phẩm chủ_lực của Đài_Phát_thanh_truyền_hình Hà_Nội số ra tháng 7 với sự đồng_hành của Tập_đoàn Dầu_khí Việt_Nam Petrovietnam Tổng_công_ty Khí Việt_Nam CTCP_PV_GAS Công_ty cổ_phần Lọc_hóa dầu Bình_Sơn BSR 3 đơn_vị có nhiều đóng_góp và tiếp đà cho sự tăng_trưởng mạnh của các lĩnh_vực vận_tải hành_khách và hàng_hóa.Vận_tải hành_khách và hàng_hóa phục_hồi mạnh_mẽ do nhu_cầu đi_lại và đi du_lịch của người dân tăng cao.Sản_xuất nông_lâm_nghiệp và thủy_sản tiếp_tục xu_hướng tích_cực do dịch_bệnh Covid19 trong nước đã được kiểm_soát và nhu_cầu tiêu_dùng hàng nông_sản trên thế_giới tăng cao xuất_khẩu dịch_chuyển dần sang các thị_trường khác giá_trị hơn và dự_kiến sản_xuất nông_lâm_nghiệp và thủy_sản vẫn sẽ duy_trì đà tăng_trưởng trong những tháng cuối năm.Trong đó một_số ngành đã có mức tăng cao hơn trước khi dịch Covid19 xuất_hiện như Công_nghiệp chế_biến_chế_tạo tổng mức bán_lẻ hàng_hóa và doanh_thu dịch_vụ tiêu_dùng xuất_khẩu hàng_hóa.Nhiều tổ_chức đánh_giá Việt_Nam trong năm 2022 vẫn bảo_đảm và duy_trì được tỷ_lệ kiểm_soát lạm_phát mục_tiêu 4 hoặc nếu có hơn thì chỉ cao hơn một_chút
5,"[0.45950127 0.75338541 0.52165124 0.86781394 1.28932182 1.4575091
 1.1893768  1.21611758 0.57090762 1.27322813 1.32331105 0.91344814
 0.73428127 0.89683424 1.09681689 0.6593584  0.55361672 1.44347869
 0.89862721 1.20156481 0.93064018 1.02497474 1.30381557 0.31142618
 1.01487288 1.07377225 1.1179828  1.37307319 1.27122844 1.27865439
 1.28135455 0.95901831 0.93664262 1.1129596  0.68980701 0.99962697]",Tuy_nhiên Bộ Xây_dựng cho biết việc quy_định không bắt_buộc giao_dịch bất_động_sản qua sàn điều_kiện thành_lập và điều_hành sàn còn đơn_giản chưa quy_định cụ_thể mô_hình quy_trình giao_dịch dẫn đến hoạt_động của các sàn mang tính tự_phát thiếu ổn_định chưa bảo_đảm kiểm_soát được thông_tin giao_dịch bất_động_sản.Về lượng tồn_kho BĐS hiện còn khoảng 2300 căn nhà ở trong các dự_án đưa ra giao_dịch trên thị_trường nhưng còn tồn_đọng chưa có giao_dịch vào cuối năm 2021 ít hơn nhiều so với năm 2020 là khoảng 9000 căn.Hoạt_động của các sàn giao_dịch BĐS đang từng bước hình_thành môi_trường minh_bạch cho các nhà_đầu_tư BĐS và đem lại nhiều lợi_ích cho người dân khi tiếp_cận hàng_hóa_BĐS nhất là nhà_ở là kênh cung_cấp thông_tin thị_trường quan_trọng cho người dân và cho cơ_quan quản_lý nhà_nước.Chưa đảm_bảo kiểm_soát được thông_tin giao_dịch BĐS đặc_biệt là các BĐS của doanh_nghiệp_chủ đầu_tư
6,"[1.47643609 1.111272   1.31929955 1.18248632 0.64029225 0.72511776
 1.17664316 0.67413991 1.34328865 1.10048363 0.59950746 0.60804715
 1.23777447 1.09745865 1.31118352 1.34368916 0.74404522 0.98591067
 1.30071813 0.75341889 0.48623729 1.26382064 0.74629347 0.83732157
 0.72769379 0.99825644 0.93816421 1.33336807 0.72410272 0.74614439
 1.13132139 0.8604621  1.47643609 1.18248632 0.64029225 1.35859093
 0.74809777 1.06969793]",Phía vườn thú Hellabrunn một lần nữa cử chuyên_gia sang thăm lại 06 cá_thể và đánh_giá Vinpearl Safari Phú_Quốc rất cao khi có_thể chăm_sóc được loài thú quý_hiếm này trong điều_kiện lý_tưởng bậc nhất hiện_nay.Ngoài gấu ngựa khỉ đầu chó mặt xanh và đười_ươi Sumatra trong gần 7 năm qua Vinpearl Safari Phú_Quốc còn tiếp_nhận cứu_hộ rất nhiều loài động_vật quý_hiếm khác như gấu_chó voọc bạc vượn pile vượn má vàng cá_sấu nước_ngọt hồng_hoàng Điều đáng mừng nhất là sau một thời_gian chăm_sóc tại đây với môi_trường sống lý_tưởng những người bạn đến từ hoang_dã đều đã phục_hồi phát_triển tốt.Con đực SuAq nặng khoảng 50 ký và được đặt theo tên một cánh rừng lớn ở Indonesia nơi tập_trung nhiều cá_thể Sumatra nhất thế_giới đồng_thời là tên một chương_trình bảo_tồn Đười_ươi.Con đực SuAq nặng khoảng 50 kg và được đặt theo tên một cánh rừng lớn ở Indonesia nơi tập_trung nhiều cá_thể Sumatra nhất thế_giới đồng_thời là tên một chương_trình bảo_tồn đười_ươi
7,"[1.09272295 1.11391195 0.7347945  1.1166072  0.56393113 1.03787984
 0.9963114  0.64357303 0.77068941 0.9383498  0.87416684 0.77092957
 0.93452983 1.12434827 0.94582939 0.95741194 1.13817363 0.57124688
 0.94605691 1.2906805  1.04559715 0.9348262  0.97548947 0.81215559
 1.12236794 1.0979997  1.35226319 0.77540914 0.63990354 1.43732287
 1.17401918 0.99847222 1.00589085 0.91821002 0.79986148 1.19951867
 1.16078369 1.05594271 0.93836166 0.61643894 0.71045826 1.24297843
 1.03524596 1.01630623 1.48625204 1.66736394 0.96867283 1.24974312]",Theo số_liệu của CoinMarketCap đồng ether tăng 785 trong vòng 24 giờ trong khi duy_trì mức trên 1500 USD.Sau cú sập của thị_trường tiền số hồi tháng 6_dữ_liệu từ Alternative cho thấy chỉ_số Bitcoin_Fear_and_Greed index chạm mốc 8100 điểm vào ngày 146.Tuy_nhiên PricePredictions nhận_định bitcoin sẽ đạt mức tối_đa 3943558 USD trong năm 2022 còn con_số này với ether là 272953 USD vào cuối năm.Bitcoin đã phải chật_vật để thoát khỏi vùng giá 1900020000 USD sau khi Cục Dự_trữ Liên_bang Mỹ Fed thắt chặt chính_sách tiền_tệ và nhiều công_ty cho vay tiền điện_tử lớn sụp_đổ.Sự phục_hồi gần đây của Bitcoin đã đưa mức lỗ trong năm nay về khoảng 52
8,"[1.15016553 0.87031856 0.98063616 1.05867046 1.0538072  1.
 0.80799859 1.15108126 0.82222812 1.28929732 1.28747433 0.86258429
 1.09047336 1.05467219 0.58247532 0.95251959 1.24367517 0.67634168
 1.30427708 1.25863246 0.80964482 0.52782244 1.19093563 1.20462623
 0.69533291 1.4876431  1.1901567  1.18985384 0.87387968 1.32983685
 1.01476509 1.13794564 0.51781966 1.         1.24211744 0.87532024
 1.09873599 1.37778913 1.16868723 0.7217561  1.15158373 1.09438228
 1.09510072 0.60542377 1.07792553 1.00799559 0.71511693 0.8870674
 1.59506183 1.23943232 1.18138634 0.57319611 1.01419487 0.61381454
 0.46980843 0.93592885 0.913278   0.77076268 0.99247962 1.0566074
 1.15825579 1.25535319 0.57432484 0.76708011 0.96377969 1.18275321
 1.40594346 0.45001569 0.84539985 1.12686487 1.12768494]",Đề_cập tới công_tác nhập mua 8500 tấn gạo dự_trữ quốc_gia DTQG theo kế_hoạch năm 2022 ông Hạ_Văn_Cơ Cục_trưởng Cục Dự_trữ Nhà_nước DTNN khu_vực Hoàng_Liên_Sơn cho biết cùng với các đơn_vị trong ngành DTNN năm 2022 là năm đầu_tiên đơn_vị thực_hiện đấu_thầu mua gạo DTQG trên hệ_thống mạng đấu_thầu quốc_gia nên trong quá_trình thực_hiện còn nhiều vấn_đề chưa hiểu đúng đơn_vị thường_xuyên phải tham_khảo ý_kiến các vụ chuyên_môn của Tổng_cục DTNN.Nhờ có sự chuẩn_bị tốt về mọi mặt trong việc thực_hiện lựa_chọn nhà_thầu cung_cấp gạo DTQG đơn_vị đã hoàn_thành công_tác lựa_chọn nhà_thầu theo đúng quy_định của pháp_luật và hướng_dẫn của Tổng_cục DTNN đảm_bảo công_khai minh_bạch hiệu_quả tiết_kiệm.Nhờ đó đơn_vị đã tổ_chức đấu_thầu qua mạng thành_công mua 10500 tấn gạo 15 tấm sản_xuất vụ Đông_Xuân năm 2022 gạo đạt tiêu_chuẩn chất_lượng theo quy_chuẩn kỹ_thuật quốc_gia QCVN 06_2019BTC và được đưa vào nhập kho DTQG tại 2 chi_cục DTNN_Long An_Đồng_Nai hoàn_thành 100 kế_hoạch được giao trước thời_hạn quy_định.Trong công_tác nhập vật_tư thiết_bị cứu_hộ cứu nạn 6 tháng đầu năm 2022 Cục DTNN khu_vực TP Hồ_Chí_Minh đã chủ_động phối_hợp với các nhà_thầu trúng_thầu thực_hiện theo đúng hợp_đồng_chất_lượng vật_tư thiết_bị cứu_hộ cứu nạn đảm_bảo đúng theo hợp_đồng với kết_quả hoàn_thành 100 kế_hoạch được giao.Trong 6 tháng đầu năm Cục Dự_trữ Nhà_nước khu_vực Hoàng_Liên_Sơn đã thực_hiện xuất cấp hơn 7471 tấn gạo dự_trữ quốc_gia_nhập kho năm 2021 hoàn_thành 100 chỉ_tiêu kế_hoạch giao.Ngay đầu năm 2022 đơn_vị triển_khai công_tác kiểm_tra mùa xuân theo đúng thời_gian yêu_cầu của Tổng_cục với kết_quả tốt hàng_hóa đảm_bảo an_toàn công_tác kiểm_tra chất_lượng hàng_hóa khi nhập xuất kho đều được thực_hiện đúng quy_trình đảm_bảo chất_lượng hàng_hóa_nhập xuất kho theo đúng tiêu_chuẩn của ngành.Hay trong công_tác xuất gạo hỗ_trợ học_sinh theo Quyết_định số 470Q_ĐTCDT của Tổng_cục Dự_trữ Nhà_nước DTNN về việc ban_hành quy_trình lập dự_toán quyết_toán chi_phí hàng DTQG cứu_trợ viện_trợ yêu_cầu Hồ_sơ cung_cấp bao_bì đóng_gói bốc_xếp bảo_hiểm khi lập dự_toán phải có 3 báo_giá mà số_lượng gạo đơn_vị xuất bổ_sung hỗ_trợ cho học_sinh của các tỉnh ít phí bảo_hiểm vận_chuyển ít chỉ vài chục nghìn nên không doanh_nghiệp bảo_hiểm nào cung_cấp báo_giá ảnh_hưởng tới quy_trình tiến_độ thực_hiện công_việc của Cục DTNN khu_vực TP Hồ_Chí_Minh.Căn_cứ vào kế_hoạch nhập xuất và tồn_kho hàng_hóa vật_tư DTNN và các nhu_cầu thiết_thực_tại đơn_vị quy_định mức chi cho nhóm các nội_dung chi đối_với chi_phí bảo_quản hàng DTQG kịp_thời đúng theo các quy_định hiện_hành của nhà_nước Bộ Tài_chính và ngành DTNN
9,"[1.13662497 1.28205494 0.50489439 1.16629763 1.1655795  0.62645472
 1.07992027 1.09584882 0.9816923  0.56116224 1.06317547 1.66619299
 1.28098787 1.25352799 0.95785759 1.39065527 1.17352005 1.35263929
 1.48241427 0.60283126 0.70340966 1.00138026 0.77292514 0.76964256
 0.72708185 0.83956242 0.76006441 0.60160187]",Trao_đổi với PLO PGSTS Nguyễn_Duy_Thịnh nguyên giảng_viên Viện công_nghệ_sinh_học và thực_phẩm Đại_học Bách_Khoa Hà_Nội cho rằng những hoạt_chất được phát_hiện trong rau củ quả như carbendazim trị nấm permethrine thuốc_trừ_sâu hay hoạt_chất cypermethrine imidacloprid đến các hoạt_chất phát_hiện ở thủy_sản như chloramphenicol ciprofloxacin và enrofloxacin đều gây ảnh_hưởng đến sức_khỏe khi sử_dụng.Ban Quản_lí an_toàn thực_phẩm TPHCM cho biết kết_quả kiểm_nghiệm cho thấy sản_phẩm rau_quả phát_hiện cùng lúc tồn_dư dư_lượng thuốc bảo_vệ thực_vật của nhiều hoạt_chất 16 mẫu trong đó có sản_phẩm phát_hiện đến 07 hoạt_chất thuốc bảo_vệ thực_vật.Ngoài_ra còn hơn 40 mẫu hải_sản phát_hiện kim_loại nặng trong đó có nhiều mẫu vượt giới_hạn cho_phép cá_biệt có sản_phẩm phát_hiện dư_lượng của 7 hoạt_chất
10,"[1.20785448 0.75436228 1.50595221 0.67760744 1.19070664 1.02822686
 0.55924626 0.91309157 0.76275915 1.23085832 0.8702665  1.65649594
 0.93582308 1.1403774  1.08161391 1.04243247 1.25176569 1.18230344
 1.14733732 0.96848117 1.28237779 0.74721323 0.89459562 0.76353755
 0.93593501 1.07115077 0.71183306 1.292191   0.80556563 1.0902917
 1.15968122 1.2860725  1.32815854 1.13842019 1.40975022 1.0581798
 1.44717248 0.15643087 0.4726628  0.29637637 1.0413364  1.01803529
 1.         0.22635065 1.31826176 1.22909669 1.05745161 0.89451312
 1.183984   0.1580981  0.18534    0.98121174 1.05832566 0.45812088
 0.8698149  0.56832    1.15457892 1.24495695 1.2017197  0.74188751
 0.92334084 1.21288165 0.81102104 1.04167429 1.0568989  0.41405646
 0.70587532 0.92128711 0.6472431  1.3887459  1.35900368 1.13642493
 1.3580229  1.49220439 1.         0.98907168 1.31775499 1.08258591
 1.11103633 0.97870452 0.67946971 1.35102052 1.17280242 1.11448374
 0.87309766 0.4238456  0.78945827 1.05491125 1.18920327 1.00843016
 1.01301404 0.75303434 0.30485893 1.63842473 1.0512067  1.24642936
 1.27650008 1.35115798 1.10181455 1.32039757 0.98999595 1.30204689]",TS Ngô_Trí_Long_nguyên Phó_Viện_trưởng Viện Nghiên_cứu thị_trường giá_cả Bộ Tài_chính cho rằng việc một_số hãng hàng_không triển_khai dịch_vụ ưu_tiên làm thủ_tục nhanh có trả phí là giải_pháp để tăng nguồn thu ngoài giá vé.Do_vậy để đảm_bảo quyền_lợi cho người dân và sự minh_bạch trong các hoạt_động kinh_doanh cơ_quan_chức_năng liên_quan cần vào cuộc kiểm_tra kiểm_soát mức giá của các hãng xe công_nghệ theo đúng quy_định.Phụ_phí sẽ áp_dụng cho từng đơn hàng trong chuyến xe đồng_thời được cộng trực_tiếp vào giá cước tại những thời_điểm thời_tiết nắng nóng gay_gắt.Điều 27 của luật này quy_định những hành_vi lạm_dụng vị_trí thống_lĩnh thị_trường vị_trí độc_quyền bị cấm như áp đặt giá mua giá bán hàng_hóa dịch_vụ bất hợp_lý có khả_năng gây ra thiệt_hại cho khách_hàng và áp đặt điều_kiện bất_lợi cho khách_hàng.Và cuối_cùng là sự phản_đối của người tiêu_dùng đối_với những hành_vi cố neo giá cao để trục_lợi khi giá xăng_dầu giảm xuống.Trước đó vào ngày 117_Cục đã có văn_bản đề_nghị Grab cung_cấp thông_tin tài_liệu bao_gồm danh_mục và làm rõ các loại_hình mức phí phụ_phí hiện_nay được cộng trực_tiếp vào giá cước hiển_thị.Quay trở_lại câu_chuyện hiện_nay trong bối_cảnh nhu_cầu đi_lại lớn sân_bay đông nghẹt khách_hàng chờ_đợi để làm thủ_tục check in ông Long cho rằng việc một_số hãng hàng_không triển_khai dịch_vụ ưu_tiên làm thủ_tục nhanh có trả phí là vẽ ra để tăng nguồn thu khách_hàng có tiền sẽ được ưu_tiên.Sở dĩ người sử_dụng dịch_vụ bất_bình vì trong bối_cảnh bão giá như hiện_nay quyết_định thu thêm phí của Grab dựa trên căn_cứ nào
