cluster_idx,document_idx,n_sent,n_word,avg_word_per_sent,title_len,anchor_len
1.0,1.0,59.0,2821.0,47.813559322033896,13.0,53.0
1.0,2.0,8.0,997.0,124.625,12.0,47.0
1.0,3.0,28.0,1289.0,46.035714285714285,11.0,50.0
2.0,1.0,24.0,1115.0,46.458333333333336,10.0,53.0
2.0,2.0,22.0,830.0,37.72727272727273,6.0,33.0
2.0,3.0,8.0,280.0,35.0,6.0,35.0
3.0,1.0,18.0,673.0,37.388888888888886,16.0,51.0
3.0,2.0,9.0,261.0,29.0,9.0,33.0
3.0,3.0,48.0,2108.0,43.916666666666664,13.0,61.0
4.0,1.0,16.0,847.0,52.9375,10.0,57.0
4.0,2.0,14.0,928.0,66.28571428571429,10.0,80.0
5.0,1.0,17.0,877.0,51.588235294117645,19.0,49.0
5.0,2.0,6.0,373.0,62.166666666666664,10.0,43.0
6.0,1.0,15.0,930.0,62.0,8.0,62.0
6.0,2.0,14.0,1011.0,72.21428571428571,12.0,63.0
7.0,1.0,7.0,329.0,47.0,6.0,17.0
7.0,2.0,10.0,527.0,52.7,7.0,21.0
7.0,3.0,5.0,167.0,33.4,14.0,26.0
8.0,1.0,15.0,847.0,56.46666666666667,11.0,57.0
8.0,2.0,15.0,757.0,50.46666666666667,16.0,43.0
8.0,3.0,14.0,815.0,58.214285714285715,9.0,57.0
9.0,1.0,11.0,389.0,35.36363636363637,12.0,25.0
9.0,2.0,6.0,454.0,75.66666666666667,13.0,19.0
10.0,1.0,23.0,1343.0,58.391304347826086,10.0,69.0
10.0,2.0,8.0,339.0,42.375,8.0,28.0
10.0,3.0,17.0,871.0,51.23529411764706,8.0,54.0
11.0,1.0,7.0,310.0,44.285714285714285,14.0,27.0
11.0,2.0,18.0,549.0,30.5,5.0,32.0
11.0,3.0,14.0,683.0,48.785714285714285,13.0,47.0
11.0,4.0,23.0,1589.0,69.08695652173913,8.0,71.0
12.0,1.0,10.0,510.0,51.0,15.0,66.0
12.0,2.0,10.0,382.0,38.2,13.0,60.0
12.0,3.0,10.0,489.0,48.9,15.0,42.0
12.0,4.0,5.0,284.0,56.8,12.0,61.0
13.0,1.0,20.0,1047.0,52.35,11.0,48.0
13.0,2.0,23.0,1027.0,44.65217391304348,14.0,43.0
13.0,3.0,7.0,556.0,79.42857142857143,4.0,71.0
14.0,1.0,10.0,341.0,34.1,6.0,20.0
14.0,2.0,5.0,318.0,63.6,4.0,30.0
14.0,3.0,5.0,212.0,42.4,8.0,24.0
15.0,1.0,20.0,1038.0,51.9,13.0,59.0
15.0,2.0,15.0,818.0,54.53333333333333,11.0,66.0
15.0,3.0,18.0,336.0,18.666666666666668,11.0,59.0
